symbol,sector,industry
RELIANCE,Energy,Oil Gas & Consumable Fuels
TCS,Information Technology,IT Services & Consulting
INFY,Information Technology,IT Services & Consulting
WIPRO,Information Technology,IT Services & Consulting
HCLTECH,Information Technology,IT Services & Consulting
HDFCBANK,Financial Services,Private Sector Bank
ICICIBANK,Financial Services,Private Sector Bank
SBIN,Financial Services,Public Sector Bank
KOTAKBANK,Financial Services,Private Sector Bank
AXISBANK,Financial Services,Private Sector Bank
BAJFINANCE,Financial Services,Non-Banking Financial Company
HINDUNILVR,Fast Moving Consumer Goods,Diversified FMCG
ITC,Fast Moving Consumer Goods,Diversified FMCG
NESTLEIND,Fast Moving Consumer Goods,Packaged Foods
BHARTIARTL,Telecommunication,Telecom Services
LT,Capital Goods,Construction & Engineering
MARUTI,Automobile,Passenger Vehicles
TMPV,Automobile,Passenger Vehicles
ASIANPAINT,Consumer Durables,Paints
TITAN,Consumer Durables,Jewellery & Watches
SUNPHARMA,Healthcare,Pharmaceuticals
ULTRACEMCO,Construction Materials,Cement
TATASTEEL,Metals & Mining,Iron & Steel
ADANIENT,Diversified,Diversified Holdings
POWERGRID,Power,Power Transmission & Distribution
